Q1	Q2	Q3	Q4	Q5	Q6	Q7	Q8	Q9	Q10	gender	age	source	country
3	2	2	2	4	2	1	3	4	3	1	21	3	US
3	3	3	3	2	3	2	3	4	4	1	19	1	PH
3	3	2	4	3	2	2	4	4	3	2	33	3	CA
4	3	1	4	1	4	4	1	1	1	2	24	3	IN
4	4	2	4	1	3	3	3	3	3	1	23	3	US
4	4	1	4	1	4	4	3	2	2	1	23	1	US
2	2	3	2	4	2	1	4	3	4	1	22	3	GB
2	3	2	3	4	1	2	4	3	3	2	52	1	US
4	4	2	4	1	4	4	2	2	2	0	0	1	BR
3	3	2	3	2	3	2	2	2	2	1	24	3	CA
3	3	1	3	2	2	3	3	3	2	1	45	3	US
3	3	2	4	2	2	2	3	3	3	1	42	1	AU
3	3	2	3	2	3	3	3	2	2	1	28	1	EU
1	2	3	2	3	2	1	3	4	3	1	34	3	NL
4	3	3	4	3	3	4	3	4	4	1	45	3	GB
3	1	3	1	3	3	3	3	4	4	1	24	3	MY
3	3	2	2	3	2	2	3	3	3	2	34	1	HK
3	4	2	3	2	3	3	3	3	3	1	21	3	US
3	3	1	2	2	2	2	3	3	3	2	20	3	US
2	3	3	2	3	2	1	4	4	4	0	0	3	IN
3	3	2	3	3	2	2	4	4	3	1	44	3	US
4	4	1	4	2	3	3	2	2	2	2	61	1	US
3	3	2	3	2	3	3	2	3	3	1	16	1	US
0	0	0	0	0	0	0	0	0	0	2	12	3	PH
1	3	2	3	3	2	4	4	4	1	1	17	3	IN
3	4	1	4	1	4	4	1	1	1	2	70	3	US
2	3	3	3	2	2	2	4	3	2	2	26	1	US
3	3	1	4	1	4	4	1	1	1	1	49	1	US
3	4	2	3	2	3	3	3	2	3	2	22	3	US
4	4	3	3	1	2	2	3	3	3	2	23	3	US
4	4	1	4	1	4	4	1	3	2	2	25	3	US
4	1	4	1	4	1	1	1	4	4	1	33	3	LT
4	4	1	4	1	4	4	1	1	1	2	40	3	NL
4	4	1	3	2	3	3	3	2	2	2	36	1	GB
2	3	2	3	4	2	2	4	2	2	2	37	3	NL
3	3	1	3	2	3	3	2	1	1	2	37	3	US
4	4	1	3	1	3	3	1	3	2	2	25	3	US
4	4	1	3	1	3	3	2	3	1	2	56	3	US
3	3	3	3	4	3	1	4	3	2	1	28	1	US
3	4	2	3	2	3	2	4	2	1	2	23	3	US
4	4	1	3	2	4	4	1	1	1	2	56	3	US
3	4	2	3	2	3	2	4	2	1	2	23	3	US
3	3	2	3	2	3	3	2	2	3	2	22	3	US
3	3	1	3	3	2	3	4	3	2	2	31	3	US
3	3	2	2	3	2	3	4	3	1	0	0	1	CA
2	3	3	2	4	2	2	3	3	3	1	32	3	US
3	4	2	2	2	3	2	2	2	1	2	38	3	US
3	3	3	3	2	3	3	3	3	3	2	28	3	US
1	4	1	3	1	4	3	4	1	2	1	17	3	IN
3	3	2	3	2	2	2	4	4	4	2	27	3	US
4	4	1	4	1	4	4	1	1	1	2	28	3	US
3	3	3	2	3	1	2	3	3	4	1	23	3	US
4	4	2	0	2	3	3	2	2	2	1	37	3	US
4	3	1	3	2	3	3	2	2	2	2	22	3	IN
3	4	2	3	1	3	4	3	2	3	2	19	3	US
4	4	1	4	1	4	4	1	1	1	2	6	3	US
3	3	1	3	2	3	3	2	2	2	2	28	3	GB
3	3	3	3	3	2	2	3	3	3	2	60	1	ZA
3	4	2	3	1	3	3	2	3	4	2	39	1	AU
4	4	1	4	1	3	3	1	2	1	1	29	1	GB
4	4	1	4	1	4	4	1	1	1	2	30	3	CA
4	4	1	3	4	4	3	1	1	1	2	31	3	US
4	4	1	3	1	3	3	3	3	1	2	49	3	US
3	3	2	3	2	3	3	2	3	3	2	23	3	US
3	4	2	2	2	3	4	3	3	3	2	12	3	US
3	3	3	3	3	3	3	3	3	3	1	45	3	NL
4	4	2	4	1	4	4	1	1	2	2	25	3	US
4	4	1	4	1	3	3	2	1	1	2	28	3	US
4	4	3	3	2	3	3	3	3	2	2	26	3	US
3	3	2	2	3	2	2	3	3	3	2	22	3	US
4	4	1	3	1	4	3	1	1	1	2	31	3	US
4	4	3	4	2	2	1	3	2	3	1	22	1	US
3	3	4	3	4	2	1	4	4	4	1	55	1	US
4	4	1	4	2	3	3	2	2	1	2	25	3	US
4	4	1	3	1	4	4	1	1	1	2	25	3	US
3	4	2	3	1	3	3	2	2	1	2	46	3	US
4	4	1	4	1	3	3	2	1	1	2	22	3	US
2	2	3	2	3	1	1	3	4	4	2	22	3	US
2	4	1	3	4	1	1	4	4	2	2	41	2	US
4	4	1	4	1	4	4	1	1	1	2	26	3	US
3	3	2	3	1	2	3	1	2	2	2	27	3	US
3	3	2	2	3	2	2	3	3	3	2	35	1	HK
3	3	2	3	1	4	3	2	2	1	1	22	3	US
3	4	1	3	1	4	3	1	1	1	2	24	3	US
2	2	3	3	3	1	1	3	4	4	1	31	3	GB
4	3	1	3	1	4	4	1	2	2	2	33	3	US
4	4	2	3	2	3	3	2	3	3	2	24	3	US
4	4	1	3	1	3	3	3	2	2	2	22	3	US
3	3	1	3	1	3	4	1	2	1	2	20	1	CA
2	3	4	2	4	1	1	3	3	4	1	33	1	US
1	3	4	1	4	1	1	4	4	4	1	15	1	US
3	1	4	1	4	1	1	1	4	4	1	21	1	AT
3	3	2	3	3	2	2	3	3	3	2	22	3	US
4	4	1	3	4	4	4	1	3	4	2	60	1	GB
3	3	2	4	1	2	2	4	1	3	2	21	3	US
4	4	1	3	2	3	2	1	2	1	2	24	3	US
1	1	4	3	1	3	3	4	3	1	2	49	3	US
3	3	2	3	2	4	3	3	3	2	2	24	3	NL
4	4	2	3	2	4	3	3	3	3	2	22	3	US
4	4	1	3	1	3	3	2	2	1	2	26	3	US
4	4	1	4	1	3	4	2	2	1	2	24	3	US
3	4	2	3	1	3	3	2	2	1	2	57	3	US
4	4	1	3	2	3	3	3	2	2	2	23	3	US
1	1	4	1	4	1	1	4	4	4	1	22	3	US
3	3	2	3	2	3	2	3	4	4	1	48	3	GB
4	4	1	4	1	4	4	2	2	2	2	28	3	US
3	3	2	3	1	3	0	2	3	2	2	25	3	US
3	3	2	3	2	3	3	2	3	2	2	24	3	US
3	3	4	3	2	1	2	4	4	4	2	24	3	US
4	3	3	2	3	3	3	1	2	2	1	61	1	GB
3	3	3	2	2	1	1	4	4	3	2	23	3	GB
3	3	2	3	2	3	3	3	3	2	2	39	3	CH
4	3	1	3	2	3	3	2	3	2	2	25	3	US
3	3	3	3	2	3	2	2	3	2	1	26	3	US
4	4	2	4	2	4	4	2	2	2	2	30	3	US
4	4	1	4	1	4	4	1	1	1	2	25	3	US
3	3	2	3	2	3	3	2	3	2	2	23	3	US
4	3	2	3	2	3	3	2	3	3	2	28	3	US
3	3	2	3	2	3	3	4	3	3	2	31	3	CA
4	4	1	4	1	4	4	2	2	1	2	23	3	US
3	3	2	3	2	4	3	2	3	2	2	22	3	US
3	4	1	3	1	2	3	2	3	1	2	32	3	US
4	4	1	4	1	3	3	2	2	1	2	32	3	US
3	3	2	3	2	3	4	2	2	2	2	24	3	US
3	3	2	2	3	1	2	3	4	2	1	24	3	BR
4	4	2	3	1	3	3	2	3	2	1	26	3	US
4	4	2	3	2	3	3	3	3	3	2	22	3	US
4	3	2	3	2	3	3	3	2	2	1	46	3	GB
4	4	1	4	2	3	3	1	2	2	2	27	1	GB
3	3	3	3	3	2	2	3	4	4	1	34	3	US
3	4	2	3	2	3	2	4	3	4	2	21	1	US
3	3	3	3	3	3	2	3	4	4	2	20	1	AU
4	4	1	4	1	3	3	3	2	1	2	22	3	US
4	4	4	4	4	4	4	4	4	4	1	17	3	IN
2	2	4	2	4	2	1	4	3	3	1	32	1	US
2	2	3	2	3	1	0	3	4	4	2	28	1	AU
3	4	2	3	2	2	2	4	4	4	2	24	2	GB
3	3	1	4	2	3	3	3	2	2	1	23	3	IN
4	4	1	4	1	3	3	3	1	1	1	23	1	IN
3	3	3	2	3	1	2	3	4	4	2	17	1	US
3	3	2	3	2	4	3	2	2	1	2	25	3	US
4	4	1	4	1	3	3	3	2	1	2	22	3	US
2	3	4	2	4	2	1	3	4	4	1	21	3	CA
3	3	1	3	1	3	3	1	1	1	2	30	3	US
3	0	1	3	1	3	3	1	1	1	2	30	3	US
3	4	2	3	2	3	3	2	2	1	1	52	3	US
4	4	0	1	1	4	4	4	1	4	1	20	1	IN
4	4	1	4	1	4	4	3	3	1	2	25	3	US
4	3	3	3	3	2	2	3	2	1	2	39	3	GB
3	3	2	3	2	3	3	3	3	2	1	20	3	AU
2	2	4	1	4	1	1	4	4	4	2	25	1	US
3	3	1	3	1	3	3	4	3	3	1	35	1	US
3	3	3	3	3	1	1	4	4	4	1	32	1	US
3	3	2	3	3	3	2	3	3	2	1	30	3	US
2	3	2	1	4	0	1	1	2	2	1	36	3	IN
1	4	1	4	1	4	4	1	1	1	1	0	3	HK
3	4	2	3	2	3	3	3	2	3	1	31	3	ZA
4	4	2	3	1	3	3	1	3	2	2	23	3	NL
3	3	2	3	2	3	3	4	4	3	1	33	1	GB
2	2	3	2	2	2	2	3	3	3	2	35	3	GB
3	3	3	3	1	1	2	4	4	4	2	36	1	SE
2	3	3	3	3	2	1	2	4	4	1	20	3	TT
2	2	3	2	3	2	2	3	3	3	2	14	1	GB
3	3	4	3	4	2	1	2	3	3	1	23	3	GB
3	4	4	4	4	2	2	3	3	3	1	28	1	GB
3	3	2	4	1	3	3	2	2	1	2	24	3	US
4	4	1	4	1	4	4	1	1	1	1	50	3	HK
4	3	2	3	2	2	2	3	4	3	2	21	1	US
4	4	1	3	1	4	4	1	1	1	1	32	1	IT
3	4	1	3	1	4	4	2	1	1	2	24	3	US
3	4	2	3	2	3	3	3	3	3	2	19	3	US
4	4	1	3	1	3	3	3	2	1	2	57	3	US
4	4	1	4	3	4	4	1	1	1	1	42	1	US
3	3	2	3	2	3	3	2	3	3	2	37	3	AU
4	4	1	3	1	3	3	2	1	1	2	55	1	US
2	3	2	2	2	2	2	2	3	3	1	25	1	GB
3	3	3	2	3	3	3	3	4	3	2	31	3	US
4	4	1	4	1	4	4	2	1	1	1	20	3	NO
4	4	1	4	1	4	4	1	1	1	2	43	3	BG
4	4	2	4	1	3	3	2	1	1	2	28	3	IN
3	3	3	3	2	2	3	3	3	2	2	22	3	HK
4	4	2	3	2	3	3	3	2	3	1	40	3	IT
3	3	1	3	1	3	2	3	1	2	1	47	3	US
4	4	2	4	2	4	3	4	4	3	2	25	3	ZA
3	3	2	3	2	4	4	1	2	1	1	23	1	US
3	3	2	3	3	3	2	4	3	4	2	20	1	PT
4	4	2	4	2	3	2	2	1	1	1	31	1	ZA
3	3	2	3	3	2	2	3	4	4	1	16	1	GB
4	4	2	4	2	3	3	2	1	1	1	30	3	RO
3	3	2	3	2	2	2	4	2	2	2	56	3	US
2	2	3	2	3	1	2	3	4	3	2	22	3	MT
3	3	3	2	3	2	2	4	3	3	2	18	3	US
4	4	2	3	2	3	3	3	3	2	2	20	1	US
4	4	1	4	1	4	4	1	4	1	2	47	1	US
1	1	3	2	4	1	1	4	3	3	2	28	3	US
2	3	3	2	3	3	2	4	4	3	1	18	3	US
2	2	3	3	3	2	2	3	4	4	2	28	3	US
2	4	2	3	2	3	3	2	2	3	2	32	3	GB
4	4	1	3	1	4	4	2	2	1	1	65	3	IT
4	4	1	4	2	3	3	2	2	2	2	39	3	CZ
2	3	3	3	3	1	1	3	4	4	1	18	1	US
3	3	2	3	2	2	1	2	3	3	1	45	3	GB
4	3	1	3	1	3	4	2	1	1	2	28	3	QA
4	4	1	4	1	4	4	1	2	1	2	28	1	US
4	4	2	3	2	3	2	3	2	3	1	25	3	IN
4	4	1	3	2	3	3	2	1	2	1	20	3	US
4	4	1	3	1	3	4	2	2	3	1	23	3	GB
3	3	1	2	1	3	3	1	2	1	1	19	3	US
4	4	3	4	3	4	2	1	3	2	1	55	1	US
4	4	1	4	1	4	4	1	1	1	1	55	1	US
1	1	4	1	4	1	1	4	4	4	1	22	3	GB
2	3	2	2	3	2	2	3	3	4	1	32	1	GB
3	0	4	2	4	3	1	4	4	4	1	36	3	US
3	3	2	3	2	3	3	1	2	1	1	29	1	GB
3	3	2	3	2	3	3	2	2	2	2	38	1	US
4	4	2	4	3	3	3	3	3	2	1	43	1	FR
4	4	2	2	1	3	4	2	4	2	2	26	1	US
4	4	1	3	1	3	3	2	2	2	2	61	1	US
3	3	2	3	3	3	2	4	2	3	2	20	3	DE
3	4	1	4	1	4	4	2	1	1	2	30	3	FR
3	3	3	2	3	2	2	4	3	3	2	36	3	NZ
3	3	3	2	3	2	1	3	4	4	1	31	3	DE
3	3	1	3	2	3	3	2	1	1	1	25	1	JP
3	4	3	4	1	2	3	3	4	3	2	31	3	PT
3	3	3	3	2	3	2	2	3	2	2	47	3	GB
3	4	4	4	4	4	3	3	3	3	1	56	1	NG
4	4	3	2	2	2	3	1	3	3	2	37	3	US
3	3	2	3	1	3	2	2	2	2	1	37	1	US
4	4	1	4	3	4	3	3	2	2	2	20	1	ES
3	3	2	3	1	3	3	2	2	2	2	16	3	GB
4	4	1	4	1	4	4	3	3	2	1	32	3	US
4	3	2	3	2	3	3	3	2	2	1	46	1	US
4	4	1	4	1	3	3	1	1	1	2	37	3	US
3	3	3	3	2	2	2	3	3	2	1	52	1	US
2	3	3	2	3	2	2	3	2	3	1	24	3	IE
3	3	1	3	1	4	4	4	4	4	1	35	3	US
4	4	3	2	2	1	1	3	4	4	2	35	3	US
3	3	1	3	2	4	3	1	1	3	2	26	3	SV
3	3	3	3	3	1	2	4	4	3	2	21	1	CA
2	2	4	2	3	2	2	3	4	4	2	20	1	US
4	4	1	4	2	2	3	1	1	3	3	36	1	RO
4	4	2	3	1	3	3	3	3	2	2	34	3	US
4	4	1	4	1	4	4	1	1	1	2	17	3	US
3	3	3	4	1	3	3	3	3	2	2	33	1	FI
4	4	1	4	1	3	3	3	1	1	1	52	1	US
4	3	1	3	1	3	4	1	1	1	2	24	3	US
2	3	4	3	4	1	1	3	4	3	1	22	3	GB
4	4	1	4	1	4	4	1	1	1	1	64	1	US
4	4	2	3	1	3	3	4	2	3	2	27	3	US
3	3	3	2	2	2	2	4	4	2	1	20	3	IN
3	3	3	4	2	3	1	3	3	4	1	20	3	US
4	4	1	4	2	3	3	3	2	3	2	37	1	AU
4	4	2	4	2	3	3	1	2	1	1	30	3	GB
3	3	3	2	3	2	2	4	4	3	2	44	3	US
4	4	1	4	1	3	3	2	3	3	1	49	3	GR
2	2	1	2	1	4	4	1	1	1	1	49	3	GR
3	3	2	3	3	2	3	2	4	4	1	26	1	GR
4	4	1	4	1	4	4	4	3	3	1	22	3	RU
2	3	4	3	3	2	2	4	3	1	2	31	3	GB
2	3	2	2	3	2	3	4	4	3	2	30	3	US
3	2	2	2	1	3	4	3	3	2	1	11	3	US
3	3	2	2	2	3	2	3	4	3	1	14	3	US
3	3	2	3	3	3	3	3	4	3	1	14	3	US
4	4	1	4	1	4	4	1	1	1	1	11	3	US
3	3	4	3	3	1	1	4	4	4	1	25	3	US
3	4	3	2	3	2	2	4	3	2	1	20	1	US
4	4	1	4	1	4	3	1	2	1	1	39	3	US
4	3	1	3	1	3	3	3	3	3	1	51	3	GB
4	4	3	3	2	2	1	3	3	3	2	35	3	ES
4	4	2	4	1	3	2	3	2	2	2	21	1	SE
3	2	3	2	2	1	1	4	3	3	2	27	3	US
3	3	3	3	4	2	1	4	3	4	2	20	1	US
4	4	1	4	1	3	3	1	3	2	2	34	1	US
4	4	1	4	4	3	4	1	3	2	2	50	3	CA
4	4	1	4	1	4	3	1	1	1	2	50	3	CA
3	3	2	2	2	3	3	4	2	2	2	51	1	US
3	3	2	3	2	2	2	3	3	2	2	50	1	US
4	4	1	4	1	4	4	1	1	1	2	39	3	AU
1	1	1	1	1	1	1	1	1	1	1	34	3	IN
3	3	2	3	1	3	3	3	1	1	1	42	1	IE
2	3	1	2	4	2	1	4	3	3	1	35	3	GB
2	3	1	2	2	2	2	4	3	3	2	17	1	NO
4	4	1	4	1	4	4	1	1	1	1	29	3	US
2	3	4	1	4	1	1	4	4	4	2	25	3	PT
4	4	1	4	4	3	2	4	4	4	2	59	2	US
4	4	1	4	1	3	3	2	2	2	2	64	1	CA
2	2	3	1	3	2	1	3	2	3	1	28	3	TR
2	3	3	2	3	2	2	3	3	3	1	28	3	TR
1	2	3	2	2	2	1	3	4	4	1	21	1	SE
4	3	1	3	2	3	3	2	3	2	2	20	1	MN
4	4	1	4	1	4	4	1	1	1	1	20	1	PL
3	3	1	4	1	3	3	2	1	1	1	21	3	GB
3	3	1	3	2	2	3	3	2	3	2	20	3	GB
4	3	2	4	3	3	2	3	3	2	1	25	3	DE
3	3	3	2	3	2	2	2	3	3	1	21	3	US
2	3	3	3	4	2	1	4	4	4	2	20	1	US
2	2	4	2	3	2	2	1	4	3	2	22	3	ID
4	4	3	4	3	3	3	3	3	3	2	43	1	US
4	4	2	4	3	2	1	1	3	3	2	17	1	US
3	3	1	4	1	3	4	2	2	2	1	85	1	US
3	3	2	4	3	2	2	3	3	2	2	25	3	DE
4	4	2	4	1	3	2	3	3	2	1	21	3	US
1	1	4	1	1	1	1	1	4	4	2	31	3	GB
1	1	4	1	4	1	1	1	1	1	2	36	3	GB
1	1	4	1	4	1	1	2	4	4	2	37	3	GB
3	3	2	3	2	3	3	3	2	2	2	20	3	GB
3	3	2	3	2	3	3	2	2	2	1	33	1	US
4	4	1	4	1	4	4	1	1	1	1	40	3	BO
4	4	1	3	2	3	3	2	3	2	2	30	3	US
4	4	2	4	2	4	4	4	3	3	2	23	3	MY
4	4	1	4	1	4	2	2	3	2	1	34	3	AU
3	3	1	4	3	3	3	4	2	3	1	40	3	US
4	4	2	4	1	4	4	3	3	1	2	31	1	GB
4	4	1	4	4	4	3	2	1	1	1	57	3	ZA
3	2	4	0	4	3	1	4	4	4	2	34	3	AU
4	4	1	4	2	4	3	1	1	1	1	52	3	GB
3	4	2	4	3	3	2	3	1	2	2	34	3	US
4	4	1	4	1	4	4	1	1	1	1	18	1	BG
4	4	1	4	1	4	3	3	2	1	2	35	1	US
4	4	2	3	2	3	2	3	3	1	1	35	1	US
4	3	1	3	2	3	3	2	2	2	1	48	1	NZ
3	4	1	3	3	4	3	2	2	1	2	20	1	MN
4	3	1	3	2	3	4	2	2	1	2	19	1	US
2	3	3	2	3	1	1	4	4	4	2	46	3	GB
3	4	2	3	1	3	3	4	1	1	2	24	3	HU
4	4	2	3	2	4	3	2	2	2	2	27	3	DE
4	4	2	4	2	3	3	2	4	2	1	36	3	AU
4	4	2	3	2	3	3	2	2	1	2	35	3	AU
4	4	2	3	2	4	4	2	3	3	2	22	3	MY
4	4	1	3	1	4	4	2	1	1	2	19	3	US
3	3	2	3	3	3	3	3	4	3	1	53	1	US
3	3	3	3	3	3	4	3	1	2	2	22	3	PK
4	4	1	3	1	3	4	1	1	1	2	50	3	US
3	3	3	3	2	3	2	3	3	3	2	30	3	US
1	2	4	1	4	2	1	4	4	4	2	22	3	IE
1	3	4	2	4	1	1	2	4	4	1	18	3	US
4	4	1	3	2	3	3	2	3	3	1	23	1	CA
3	4	4	4	3	2	2	4	3	1	1	26	1	US
2	3	3	3	4	1	1	4	3	3	1	20	3	US
2	2	2	2	2	2	3	3	4	4	2	16	1	US
2	4	2	2	2	2	2	4	3	4	2	24	3	GB
4	4	1	4	1	4	3	2	1	1	2	61	1	US
3	4	2	3	3	3	2	3	3	3	1	41	1	US
3	3	2	2	2	4	4	2	3	2	2	47	1	AU
4	4	1	4	1	3	3	3	1	1	2	55	1	IE
4	4	2	3	2	3	3	4	3	3	1	18	1	GB
3	4	2	3	2	3	2	3	3	1	1	26	1	ES
3	4	1	3	1	3	4	1	2	2	2	25	3	US
4	4	1	3	1	4	4	1	1	1	2	29	3	ZA
3	3	3	3	2	2	3	2	4	4	1	25	1	CA
4	4	1	4	1	4	4	1	1	1	1	28	3	US
1	2	1	1	1	1	1	1	1	1	2	39	3	ID
4	4	2	3	2	3	3	2	2	1	2	36	1	ZA
3	3	2	3	3	2	2	2	2	3	1	61	3	US
4	4	2	4	3	4	3	1	1	1	2	38	3	US
3	3	3	2	3	2	2	3	4	3	1	31	3	US
4	4	2	4	2	4	4	2	2	1	2	38	1	TT
4	4	1	4	1	4	4	1	1	1	1	36	1	GB
4	4	1	4	1	4	4	1	1	1	1	45	3	DE
4	4	1	4	2	4	3	3	3	3	2	38	1	US
3	3	2	4	2	4	3	2	1	2	1	4	1	US
4	4	1	3	1	4	3	1	3	3	1	25	3	US
4	4	2	4	1	3	3	3	3	3	2	28	3	US
4	4	2	4	1	4	3	3	2	1	1	49	3	CA
3	3	2	3	2	3	3	2	2	2	2	34	3	GB
4	3	2	3	2	3	3	2	3	3	2	19	3	GB
3	3	2	3	0	2	2	4	4	3	1	22	3	GB
4	4	4	4	4	4	4	4	4	4	2	14	3	US
2	2	4	2	3	1	1	3	1	4	2	37	3	US
3	3	2	4	3	3	2	2	2	1	2	46	3	US
4	4	2	4	1	3	3	1	1	2	1	53	1	GB
3	3	2	2	3	2	2	3	3	4	2	27	3	ZA
3	3	2	3	2	3	3	2	1	1	2	27	3	NL
2	3	3	3	3	2	2	3	2	2	2	62	3	US
3	3	2	3	3	2	0	4	4	4	1	24	1	US
3	3	2	3	1	3	3	3	4	3	1	42	1	GB
1	1	4	4	1	1	4	4	4	4	2	15	3	GB
3	3	2	3	3	3	2	1	3	2	1	24	3	MX
4	4	1	4	1	4	4	1	1	1	1	56	3	CA
4	4	2	4	3	2	2	3	2	1	2	39	3	US
4	4	2	3	1	2	3	1	2	1	1	26	3	FR
3	4	1	2	4	4	3	2	2	1	1	30	1	DE
4	3	1	3	2	4	3	3	1	1	2	23	3	MY
3	4	1	4	1	4	2	2	1	2	1	21	1	US
2	1	4	2	4	1	1	4	4	2	2	46	3	JP
3	3	1	3	2	2	3	3	3	3	2	21	3	DE
4	4	3	3	3	2	2	3	4	4	1	33	1	US
2	4	2	3	2	2	2	4	4	3	2	39	3	GB
3	4	1	3	1	3	3	1	2	1	2	18	3	GB
4	3	2	4	1	4	4	1	3	2	2	40	3	NO
3	3	3	3	4	2	2	2	3	3	1	30	1	US
3	3	2	2	3	2	2	3	4	4	2	22	1	AU
3	3	3	3	3	2	2	3	3	3	2	17	3	US
4	4	1	4	3	4	4	4	2	3	2	34	1	US
4	4	3	3	2	3	3	2	3	3	1	29	1	GB
4	3	2	3	2	3	3	2	2	2	1	20	3	US
4	3	2	3	3	3	3	3	4	3	2	16	1	VI
3	3	3	3	1	3	2	2	2	2	1	64	1	US
4	4	1	4	1	3	2	2	1	1	1	63	1	US
3	3	3	3	2	2	3	3	4	4	2	18	1	US
3	3	1	3	2	3	3	2	3	2	1	26	3	GB
3	3	1	3	1	3	3	2	2	3	2	25	3	GB
4	4	1	4	1	4	4	1	1	1	1	20	3	RO
1	2	4	1	4	1	2	4	4	4	2	35	3	US
3	3	3	2	3	3	3	4	3	4	1	20	1	AU
3	3	2	3	1	4	3	2	2	2	2	43	1	GB
3	3	3	3	3	2	2	2	3	2	1	44	1	US
4	4	1	4	1	4	4	1	2	1	0	0	1	US
4	3	1	3	3	3	3	1	3	1	1	16	3	US
3	4	2	2	2	2	3	3	3	1	2	22	3	RO
4	4	2	3	1	4	3	2	2	1	1	54	3	ZA
3	3	2	3	3	2	2	4	3	3	2	36	1	US
4	4	1	4	1	3	3	1	1	1	2	54	1	CA
3	3	2	4	3	1	2	4	3	3	2	52	3	US
4	4	1	4	1	4	4	1	1	1	2	22	3	GB
3	3	3	3	3	2	2	4	4	0	1	38	1	US
4	4	1	4	1	3	3	4	2	1	1	38	3	US
2	3	3	2	3	1	2	4	3	3	2	26	3	CA
3	3	3	3	2	1	2	4	3	2	1	21	1	NZ
2	2	3	2	3	2	2	3	3	3	1	30	1	FR
3	3	3	1	3	2	2	3	2	3	1	20	3	US
4	4	1	4	1	3	3	3	3	2	2	23	3	US
3	3	3	3	2	2	2	3	2	2	2	36	3	GB
3	3	2	3	1	2	3	4	4	4	2	32	1	ES
4	4	2	4	2	4	2	2	2	1	0	0	3	US
3	3	2	3	2	2	2	3	2	3	1	27	1	US
3	4	3	4	1	2	1	4	2	1	2	32	1	US
2	3	2	2	1	2	2	1	2	1	2	22	1	PH
2	3	3	2	2	1	2	4	4	4	2	23	3	US
4	4	1	3	2	3	3	3	2	2	1	23	3	NL
4	4	2	4	2	4	4	2	1	2	2	41	3	GB
4	4	1	4	2	2	2	2	3	2	1	39	3	GB
4	4	4	4	4	4	4	4	4	4	1	99	1	US
3	3	2	3	2	3	3	3	2	1	2	62	3	US
2	3	3	2	2	2	2	3	4	4	1	22	1	GB
4	4	1	4	2	4	4	1	3	1	3	20	1	GB
4	4	1	4	1	4	4	2	1	1	1	36	1	US
3	3	2	3	3	2	2	2	2	2	2	48	1	AU
3	3	2	3	1	3	3	2	1	1	2	20	3	US
4	4	1	4	1	4	4	1	1	1	1	35	3	CL
4	4	2	4	3	2	3	3	4	3	2	45	1	CA
3	4	3	2	1	3	3	3	3	2	2	32	1	US
4	4	2	3	2	3	4	3	2	1	2	35	3	GB
3	4	2	3	2	3	2	2	2	1	1	33	3	GB
2	3	4	3	3	2	2	3	4	4	2	45	1	US
3	3	2	3	3	3	3	3	3	2	1	58	1	GB
4	4	2	4	1	4	4	1	1	1	2	52	3	US
1	2	3	2	3	2	2	3	2	4	0	0	2	US
4	3	2	3	1	3	3	2	3	1	0	0	2	US
4	3	1	3	1	3	3	2	3	1	2	47	3	GB
3	3	3	4	2	2	1	4	4	4	2	15	1	MP
2	2	2	3	2	2	2	3	3	3	2	24	1	GB
4	4	2	4	2	4	3	3	1	1	1	18	3	US
3	3	2	3	3	2	2	3	4	4	1	27	3	BR
4	4	1	4	1	4	4	1	1	1	1	65	3	US
3	4	1	4	1	4	3	1	2	1	1	27	3	US
3	3	4	3	3	2	2	4	3	4	1	32	3	GB
4	4	1	1	1	4	4	1	1	1	2	30	3	AU
3	3	2	3	3	2	2	3	2	3	2	37	3	US
3	3	2	3	2	3	4	2	3	3	2	28	1	US
4	4	1	4	1	4	4	1	1	1	1	56	1	US
3	3	3	3	2	3	3	3	3	3	2	26	3	US
3	3	2	3	3	3	1	4	4	4	2	25	1	US
3	2	2	3	2	2	1	3	3	4	2	34	1	US
3	3	2	3	3	2	3	4	3	3	1	20	3	NL
2	3	3	2	3	2	2	3	3	3	1	39	1	US
4	4	2	3	2	3	4	3	3	3	1	16	1	US
4	3	2	3	2	3	3	2	3	3	2	53	1	US
4	4	1	3	2	4	3	3	3	2	2	23	3	US
4	3	2	3	2	2	2	3	1	2	2	32	3	CH
2	3	2	3	2	2	2	2	3	3	2	18	1	CA
3	3	3	3	2	3	4	3	1	2	2	22	3	ID
3	4	1	3	1	3	3	3	1	3	2	52	3	US
3	4	3	3	2	2	2	2	2	2	2	40	3	US
3	3	2	3	2	3	3	3	2	3	2	26	1	US
3	3	3	3	3	2	2	3	3	3	1	15	1	US
4	4	1	4	1	3	4	1	2	1	2	45	1	US
4	4	1	4	1	4	4	2	2	2	2	37	1	US
3	3	1	3	1	3	3	1	2	1	1	19	3	AU
3	3	2	3	2	2	2	4	3	3	2	46	1	GB
4	4	2	4	1	3	3	3	2	2	2	42	3	DK
2	3	3	1	3	3	2	2	3	4	2	25	1	GB
4	4	1	4	1	4	4	1	1	1	1	18	1	US
4	4	3	3	2	4	2	2	2	1	1	63	1	US
3	4	1	3	1	4	4	1	1	1	2	20	3	US
2	3	2	3	3	2	2	3	3	4	2	15	1	US
3	3	3	2	3	2	2	3	4	4	2	22	1	IN
3	3	2	3	2	3	2	2	3	3	1	58	1	AU
2	3	3	2	3	2	1	3	4	4	1	20	1	SE
